iter	Passed	Remaining
413	3288	44367
414	3295	44353
415	3303	44336
416	3311	44329
417	3318	44320
418	3322	44257
419	3329	44239
420	3338	44244
421	3345	44227
422	3354	44232
423	3362	44222
424	3370	44212
425	3377	44198
426	3386	44197
427	3393	44177
428	3400	44163
429	3407	44144
430	3415	44128
431	3422	44110
432	3429	44098
433	3436	44077
434	3443	44058
435	3450	44039
436	3458	44024
437	3465	44005
438	3472	43986
439	3479	43967
440	3486	43948
441	3493	43931
442	3500	43915
443	3508	43903
444	3516	43892
445	3523	43881
446	3531	43868
447	3538	43853
448	3545	43838
449	3552	43819
450	3560	43806
451	3567	43786
452	3570	43723
453	3577	43706
454	3585	43691
455	3592	43675
456	3599	43656
457	3606	43639
458	3613	43621
459	3620	43608
460	3628	43592
461	3635	43579
462	3643	43567
463	3650	43550
464	3657	43533
465	3664	43518
466	3672	43513
467	3679	43496
468	3687	43486
469	3694	43473
470	3702	43468
471	3710	43451
472	3717	43440
473	3724	43423
474	3731	43408
475	3739	43394
476	3746	43382
477	3754	43369
478	3761	43355
479	3768	43338
480	3789	43483
481	3833	43884
482	3841	43879
483	3848	43865
484	3856	43852
485	3863	43836
486	3871	43821
487	3878	43806
488	3885	43791
489	3893	43778
490	3900	43761
491	3907	43742
492	3914	43730
493	3921	43709
494	3928	43692
495	3935	43673
496	3943	43659
497	3950	43646
498	3957	43630
499	3964	43614
500	3972	43601
501	3979	43580
502	3986	43563
503	3993	43552
504	4001	43538
505	4009	43532
506	4017	43521
507	4024	43507
508	4031	43487
509	4039	43485
510	4046	43467
511	4054	43455
512	4061	43439
513	4068	43426
514	4075	43408
515	4082	43388
516	4089	43367
517	4095	43347
518	4103	43333
519	4110	43314
520	4117	43303
521	4124	43285
522	4131	43268
523	4138	43249
524	4145	43230
525	4152	43212
526	4159	43195
527	4166	43177
528	4173	43158
529	4180	43143
530	4187	43126
531	4194	43108
532	4201	43096
533	4208	43081
534	4216	43067
535	4223	43051
536	4230	43038
537	4237	43023
538	4245	43009
539	4251	42992
540	4259	42976
541	4266	42962
542	4273	42945
543	4280	42931
544	4287	42916
545	4294	42902
546	4302	42887
547	4309	42875
548	4316	42860
549	4323	42845
550	4331	42831
551	4338	42815
552	4345	42799
553	4352	42788
554	4360	42778
555	4367	42768
556	4375	42756
557	4382	42745
558	4390	42736
559	4397	42717
560	4404	42703
561	4411	42682
562	4418	42668
563	4424	42649
564	4431	42632
565	4439	42619
566	4446	42601
567	4453	42589
568	4457	42548
569	4464	42534
570	4471	42516
571	4478	42502
572	4486	42487
573	4492	42470
574	4500	42456
575	4506	42439
576	4514	42429
577	4521	42418
578	4529	42405
579	4536	42392
580	4543	42375
581	4550	42360
582	4557	42344
583	4564	42331
584	4571	42317
585	4578	42299
586	4585	42281
587	4592	42269
588	4600	42259
589	4606	42242
590	4614	42229
591	4620	42212
592	4627	42197
593	4634	42180
594	4641	42168
595	4649	42158
596	4656	42141
597	4663	42127
598	4670	42110
599	4677	42096
600	4684	42079
601	4691	42066
602	4698	42050
603	4705	42038
604	4712	42023
605	4719	42012
606	4727	41999
607	4733	41982
608	4740	41968
609	4747	41951
610	4754	41936
611	4761	41921
612	4768	41909
613	4775	41893
614	4782	41876
615	4789	41862
616	4796	41847
617	4879	42496
618	4890	42509
619	4897	42501
620	4905	42487
621	4912	42475
622	4920	42467
623	4927	42450
624	4934	42438
625	4941	42423
626	4948	42407
627	4955	42390
628	4962	42374
629	4969	42360
630	4976	42343
631	4983	42328
632	4990	42312
633	4999	42315
634	5009	42322
635	5018	42328
636	5027	42328
637	5036	42327
638	5046	42340
639	5056	42350
640	5064	42345
641	5072	42332
642	5081	42335
643	5091	42343
644	5099	42334
645	5112	42372
646	5121	42369
647	5129	42362
648	5136	42351
649	5146	42356
650	5155	42356
651	5163	42349
652	5174	42370
653	5184	42377
