iter	RMSE
0	93.62688028
1	93.55503566
2	93.47565315
3	93.39857105
4	93.32323389
5	93.24939194
6	93.1742838
7	93.10906359
8	93.04059078
9	92.96922701
10	92.89593411
11	92.8204879
12	92.74805589
13	92.67350604
14	92.60760832
15	92.5394778
16	92.46189346
17	92.39163203
18	92.31722237
19	92.24734152
20	92.17278133
21	92.09943319
22	92.02716785
23	91.95637414
24	91.8867024
25	91.81814243
26	91.74836414
27	91.67594547
28	91.60702075
29	91.53997291
30	91.47397281
31	91.40050214
32	91.33624235
33	91.27173308
34	91.2012915
35	91.1311085
36	91.07153458
37	91.00975549
38	90.945827
39	90.87613815
40	90.80253651
41	90.73516702
42	90.67022836
43	90.60263511
44	90.53430606
45	90.47326945
46	90.40788736
47	90.34609205
48	90.28404623
49	90.22814696
50	90.1623082
51	90.09726216
52	90.02685654
53	89.96495114
54	89.89614207
55	89.83154291
56	89.76549941
57	89.70209263
58	89.63325574
59	89.5705918
60	89.51065812
61	89.44722022
62	89.38171499
63	89.32125977
64	89.25853014
65	89.19534746
66	89.1319096
67	89.07055533
68	89.01085709
69	88.94793654
70	88.8864639
71	88.82645757
72	88.76671099
73	88.70573826
74	88.6452446
75	88.58171196
76	88.51833616
77	88.46521024
78	88.40263058
79	88.34124616
80	88.27928928
81	88.2239512
82	88.1641376
83	88.10302052
84	88.04180494
85	87.98117754
86	87.91962432
87	87.86151519
88	87.80444117
89	87.74317476
90	87.68243705
91	87.62338847
92	87.5641276
93	87.50297019
94	87.44505981
95	87.38833564
96	87.3324131
97	87.27505763
98	87.21634167
99	87.15884792
100	87.09791052
101	87.0422844
102	86.98645611
103	86.92849175
104	86.86602094
105	86.80998286
106	86.7528222
107	86.69527139
108	86.64635463
109	86.58848659
110	86.53618744
111	86.4745285
112	86.41774881
113	86.36070521
114	86.30796995
115	86.25116387
116	86.20376389
117	86.15098144
118	86.09685792
119	86.04238705
120	85.98867272
121	85.9358513
122	85.87956424
123	85.82904553
124	85.77412842
125	85.72096686
126	85.66344881
127	85.6069808
128	85.5542855
129	85.49908274
130	85.44403139
131	85.39239017
132	85.3416249
133	85.29128448
134	85.24095287
135	85.19060626
136	85.14285028
137	85.09070237
138	85.03927688
139	84.98439022
140	84.93052497
141	84.87765117
142	84.82526264
143	84.77675368
144	84.72664726
145	84.67980857
146	84.62934344
147	84.57509997
148	84.53415883
149	84.48571005
150	84.43457529
151	84.38903291
152	84.33784911
153	84.28251692
154	84.2332698
155	84.18809002
156	84.1395508
157	84.09262412
158	84.04255027
159	83.99373667
160	83.93785583
161	83.88611403
162	83.83657093
163	83.79205725
164	83.74413104
165	83.6937764
166	83.64394977
167	83.60427315
168	83.55801873
169	83.51006851
170	83.46325647
171	83.41566242
172	83.36962119
173	83.32594798
174	83.2808194
175	83.24057149
176	83.19872972
177	83.15507428
178	83.10758086
179	83.06811222
180	83.02641273
181	82.98113652
182	82.93760771
183	82.8925104
184	82.84799321
185	82.79964084
186	82.75565809
187	82.71017429
188	82.66475885
189	82.6168008
190	82.56680301
191	82.52246511
192	82.4815399
193	82.43380115
194	82.39311209
195	82.34899602
196	82.31025848
197	82.2613111
198	82.21492524
199	82.16759089
200	82.12878898
201	82.08254765
202	82.03787401
203	81.99121735
204	81.94648986
205	81.90538174
206	81.86318073
207	81.82465069
208	81.7842784
209	81.74934752
210	81.70146708
211	81.65652086
212	81.61403113
213	81.58163594
214	81.53807893
215	81.49768199
216	81.45601532
217	81.41536492
218	81.37367787
219	81.33493052
220	81.30139608
221	81.26360975
222	81.22679748
223	81.19015118
224	81.15366748
225	81.11574255
226	81.07276876
227	81.03516517
228	81.00210917
229	80.96181747
230	80.92121589
231	80.88457272
232	80.85038393
233	80.80577665
234	80.77266197
235	80.73366291
236	80.69386502
237	80.65673265
238	80.61912993
239	80.57934629
240	80.54095041
241	80.49997149
242	80.46335294
243	80.42280124
244	80.38394972
245	80.3485096
246	80.30840035
247	80.27325294
248	80.23286145
249	80.19470231
250	80.15474867
251	80.11605233
252	80.08705257
253	80.05577038
254	80.02161899
255	79.9936256
256	79.95619365
257	79.92624432
258	79.89041062
259	79.85223071
260	79.8150316
261	79.77922579
262	79.73848457
263	79.70098015
264	79.66225099
265	79.62353189
266	79.59059147
267	79.5541426
268	79.51749418
269	79.48411003
270	79.44916815
271	79.41248289
272	79.37639279
273	79.33928438
274	79.30304834
275	79.26512616
276	79.22750702
277	79.19297967
278	79.15751099
279	79.11840627
280	79.0808299
281	79.04504431
282	79.01193067
283	78.97639109
284	78.94480571
285	78.91406279
286	78.8754384
287	78.84227747
288	78.80771204
289	78.77095109
290	78.73470129
291	78.6972676
292	78.66541981
293	78.63304496
294	78.60047785
295	78.56716973
296	78.53415831
297	78.50144269
298	78.46534932
299	78.43537827
300	78.40523865
301	78.3726003
302	78.34431285
303	78.30682274
304	78.27881795
305	78.24425584
306	78.20984142
307	78.17992828
308	78.14621194
309	78.11212941
310	78.07871452
311	78.04423359
312	78.01171384
313	77.97529184
314	77.9461406
315	77.91760411
316	77.88508457
317	77.85567699
318	77.82681692
319	77.79774432
320	77.76841335
321	77.73678207
322	77.70100519
323	77.67444613
324	77.6448658
325	77.62296955
326	77.59445219
327	77.56305708
328	77.52945371
329	77.50109158
330	77.47057642
331	77.43882377
332	77.41050571
333	77.3794108
334	77.35069003
335	77.32399488
336	77.29556998
337	77.26483097
338	77.23648618
339	77.20354844
340	77.17320054
341	77.14305456
342	77.11118594
343	77.08206856
344	77.05317241
345	77.02876695
346	76.9997529
347	76.9705832
348	76.93993603
349	76.9131571
350	76.88371371
351	76.85555446
352	76.8296335
353	76.8025335
354	76.7754069
355	76.7520804
356	76.72435696
357	76.69496758
358	76.66510458
359	76.63346183
360	76.60207689
361	76.57607477
362	76.54910473
363	76.52169737
364	76.4934425
365	76.46790606
366	76.44046739
367	76.4122546
368	76.38613375
369	76.35796521
370	76.33734952
371	76.31520534
372	76.28950086
373	76.26174091
374	76.23528724
375	76.20862421
376	76.18155508
377	76.15161948
378	76.13030483
379	76.10316987
380	76.07544987
381	76.04675734
382	76.02320446
383	75.99668795
384	75.9697279
385	75.94370891
386	75.9174742
387	75.89383871
388	75.86810481
389	75.84372539
390	75.8161468
391	75.78749666
392	75.7595758
393	75.73107732
394	75.70532806
395	75.6753873
396	75.65248427
397	75.62695673
398	75.59726168
399	75.57241883
400	75.55022695
401	75.52758201
402	75.50353192
403	75.48299621
404	75.45992658
405	75.43730105
406	75.41448409
407	75.39058479
408	75.3654917
409	75.34413724
410	75.31749734
411	75.29660807
412	75.27002581
413	75.24524132
414	75.21740657
415	75.19511858
416	75.16876226
417	75.14345086
418	75.12776518
419	75.10704877
420	75.08272718
421	75.05857172
422	75.0344263
423	75.01274371
424	74.98995272
425	74.96706193
426	74.94277339
427	74.92168353
428	74.90130191
429	74.87750377
430	74.85382646
431	74.83026891
432	74.80994127
433	74.7876329
434	74.76579949
435	74.74257651
436	74.72175293
437	74.6967224
438	74.67512283
439	74.65072145
440	74.62318507
441	74.60391114
442	74.58121412
443	74.55754579
444	74.53495964
445	74.51252698
